book_id,anchor_id,narrator_id
bukhari,756,1810
bukhari,756,40
bukhari,757,143
bukhari,757,4500
bukhari,758,1227
bukhari,758,34
bukhari,759,16
bukhari,760,3
bukhari,761,143
bukhari,761,331
bukhari,762,11314
bukhari,762,16
bukhari,763,16
bukhari,763,18675
bukhari,764,30013
bukhari,764,190
bukhari,764,858
bukhari,765,16
bukhari,765,11058
bukhari,768,218
bukhari,769,276
bukhari,769,212
bukhari,770,383
bukhari,770,34
bukhari,771,8620
bukhari,772,8087
bukhari,773,11
bukhari,774.2,133
bukhari,775,28
bukhari,776,579
bukhari,776,16
bukhari,777,30367
bukhari,777,331
bukhari,778,143
bukhari,778,11314
bukhari,778,16
bukhari,779,11314
bukhari,779,16
bukhari,780,16
bukhari,780,11
bukhari,780,11013
bukhari,781,16
bukhari,782,16
bukhari,783,579
bukhari,784,123
bukhari,785,16
bukhari,786,3550
bukhari,786,9650
bukhari,787,28
bukhari,788,579
bukhari,788,14554
bukhari,788,11019
bukhari,789,295
bukhari,789,10566
bukhari,790,12
bukhari,791,8273
bukhari,791,15
bukhari,792,30013
bukhari,793,295
bukhari,794,8273
bukhari,795,30013
bukhari,796,16
bukhari,797,32
bukhari,798,16
bukhari,799,16
bukhari,799,11225
bukhari,799,11710
bukhari,799,323
bukhari,801,30013
bukhari,802,383
bukhari,802,10756
bukhari,803,10566
bukhari,804,13
bukhari,805,10949
bukhari,805,19
bukhari,805,11070
bukhari,806,11
bukhari,806,28836
bukhari,807,295
bukhari,807,4012
bukhari,807,16
bukhari,807,11407
bukhari,808,925
bukhari,809,28
bukhari,810,1472
bukhari,811,16
bukhari,811,400
bukhari,812,6662
bukhari,812,16
bukhari,814,143
bukhari,814,339
bukhari,815,28
bukhari,816,579
bukhari,820,208
bukhari,820,8
bukhari,821,383
bukhari,821,10756
bukhari,822,143
bukhari,822,143
bukhari,822,19
bukhari,823,143
bukhari,823,5265
bukhari,824,6662
bukhari,825,295
bukhari,825,20169
bukhari,825,11
bukhari,826,383
bukhari,826,10756
bukhari,826,3550
bukhari,827,16
bukhari,827,8
bukhari,827,16
bukhari,828,295
bukhari,828,39959
bukhari,828,39959
bukhari,828,218
bukhari,828,39959
bukhari,828,39959
bukhari,828,19249
